Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Алексійчук,Маруся,Олександрівна,жіноча,1942-07-03,Підприємець,селище Бахчисарай,"проспект Тимірязєва 4-й, буд. 30, Красилів, 58039",005 004-19-40,hordiiavramenko@example.org
Бандурка,Лариса,Артемівна,жіноча,1962-07-06,Інженер,хутір Любомль,"площа Сталепрокатна, буд. 542, Липовець, 86914",000 138 78 97,leontii14@example.net
Дрозденко,Демʼян,Михайлович,чоловіча,1985-03-24,Графік,селище Берестечко,"шосе Маразліївська, буд. 5 кв. 4, Городище , 16271",+380 (52) 679-66-56,danchukonysym@example.net
Рудько,Альбіна,Дмитрівна,жіноча,1963-03-24,Соціолог,селище Івано-Франківськ,"площа Шкільний аеродром, буд. 020 кв. 0, Шпола, 18007",068 163 88 38,amaliia46@example.com
Зінченко,Макар,Сергійович,чоловіча,1981-11-15,Краєзнавець,місто Копичинці,"узвіз Рівності, буд. 9 кв. 60, Обухів, 64159",+380 20 677-31-00,ostap63@example.com
Савенко,Златослава,Петрівна,жіноча,2007-11-19,Сантехнік,хутір Щолкіне,"вулиця Колонічна, буд. 044 кв. 111, Луцьк, 91551",014 965 96 90,korolenkolevko@example.com
Затовканюк,Азар,Олександрович,чоловіча,1997-03-15,Паблік рилейшнз,місто Вінниця,"шосе Велика Садова, буд. 147 кв. 802, Корсунь-Шевченківський, 69903",+380 57 496-75-45,ostapshevchenko@example.com
Базилевич,Софія,Петрівна,жіноча,1945-01-18,Письменник,місто Торецьк,"узвіз Новгородський, буд. 838, Збараж, 42471",+380 (90) 169-42-14,tereza05@example.net
Мазепа,Анжела,Олегівна,жіноча,1985-01-04,Музикознавець,селище Вашківці,"шосе Проценка, буд. 76, Олевськ, 61619",+380 63 439 99 88,ehrechko@example.net
Забашта,Лесь,Михайлович,чоловіча,1967-03-28,Доцент,селище Вашківці,"шосе Тираспольська, буд. 1, Вилкове, 85889",017 523 96 40,oleh65@example.com
Яковенко,Розалія,Петрівна,жіноча,1984-10-20,М'ясник,село Інкерман,"набережна Дачний 1-й, буд. 88 кв. 4, Обухів, 94420",069 014 35 73,akolesnychenko@example.net
Захаренко,Амалія,Юріївна,жіноча,1953-04-30,Євнух,хутір Кіцмань,"сквер Мостовий, буд. 02 кв. 9, Харцизьк, 13622",064 004-02-89,lubenetsalina@example.net
Дрозденко,Ярослава,Геннадіївна,жіноча,1961-05-20,Географ,селище Токмак,"шосе Каховський, буд. 7, Теплодар, 07404",+380 03 532-10-63,iakivisaievych@example.com
Доценко,Лариса,Миколаївна,жіноча,1950-11-06,Різноробочий,селище Нікополь,"парк Лиманна, буд. 722, Іловайськ, 14190",789 44 45,mbazavluchenko@example.org
Вдовиченко,Клавдія,Петрівна,жіноча,1998-03-30,Краєзнавець,місто Помічна,"сквер Мацієвської, буд. 451 кв. 30, Олександрія, 64746",+380 (15) 104-71-71,aleksandrenkoorest@example.org
Ісаєвич,Марко,Артемович,чоловіча,1992-10-22,Льотчик,село Яремче,"узвіз Цементний, буд. 367, Алчевськ, 20582",760 88 58,vladyslavavdieienko@example.org
Проценко,Єлисавета,Артемівна,жіноча,1952-12-03,Детектив,місто Новодружеськ,"набережна Місячна, буд. 286 кв. 658, Вільнянськ, 17579",+380 (54) 755-60-76,xpalii@example.org
Затула,Назар,Миколайович,чоловіча,1981-11-14,Медик,село Шостка,"сквер Топольського, буд. 77, Армянськ, 04403",028 602-51-52,martatkachenko@example.com
Лесик,Єлисей,Леонідович,чоловіча,1984-11-29,Астронавт,місто Бурштин ,"узвіз Віри Інбер, буд. 016, Перевальськ, 64259",+380 39 558 55 58,nazartovstukha@example.net
Ватаманюк,Симон,Юрійович,чоловіча,1960-04-20,Паблік рилейшнз,селище Комарно,"узвіз Херсонський, буд. 78, Дніпрорудне, 16654",081 290 01 78,edemydenko@example.org
Бабенко,Леонід,Ігоревич,чоловіча,1975-04-17,Ґрунтознавець,місто Монастириська,"шосе Василя Кандинського 1-й, буд. 42, Миколаївка , 16666",942 53 19,ruslanromanets@example.net
Давиденко,Устим,Павлович,чоловіча,1965-09-21,Бізнесмен,хутір Новояворівськ,"узвіз Радіальний, буд. 000, Антрацит , 37540",063 680-30-02,vermenychhavrylo@example.com
Артюх,Вʼячеслав,Вікторович,чоловіча,1970-09-23,Співак,село Нове Давидково,"узвіз Запорізька, буд. 5, Новояворівськ, 36707",+380 17 316-83-98,ikorpaniuk@example.com
Алексюк,Ганна,Вікторівна,жіноча,2007-01-17,Краєзнавець,селище Дунаївці,"провулок Космонавтів, буд. 91 кв. 12, Богодухів, 70212",462-72-30,ielysavetakhmara@example.net
Свириденко,Ірена,Олегівна,жіноча,1995-05-18,Доцент,місто Волноваха,"набережна Гімназична, буд. 69, Болград, 15263",+380 01 428-85-70,eduarddutka@example.net
Данченко,Леопольд,Іванович,чоловіча,1996-06-18,М'ясник,селище Чигирин,"шосе Сонячна, буд. 702 кв. 113, Рогатин, 15651",+380 34 783-77-29,nadiiazabila@example.com
Величко,Марта,Сергіївна,жіноча,2002-11-29,Філолог,місто Сокаль,"набережна Посівна, буд. 7, Святогірськ, 98838",046 900 90 41,mykolaikalchenko@example.com
Козаченко,Камілла,Петрівна,жіноча,1942-05-20,Вчитель,село Мала Виска,"провулок Канатна, буд. 78, Славута, 61310",556 70 52,holoborodkoiefrem@example.com
Черненко,Остап,Миколайович,чоловіча,1999-12-21,Стиліст,село Кадіївка,"площа Газовий, буд. 034, Чоп, 55762",080 854 90 79,babiizynovii@example.com
Байдак,Вікторія,Ігорівна,жіноча,2002-01-19,Програміст,місто Херсон,"вулиця Тупиковий 1-й, буд. 80 кв. 1, Славута, 65090",929 23 25,udovenkodavyd@example.org
Олійник,Одарка,Вікторівна,жіноча,1940-05-26,Конструктор,місто Святогірськ,"вулиця Дежньова, буд. 413 кв. 09, Пирятин, 87118",+380 17 030-62-46,vadym57@example.com
Титаренко,Стефан,Іванович,чоловіча,1952-03-15,Модель,місто Кам'янець-Подільський,"площа Богдана Хмельницького, буд. 724 кв. 393, Городенка, 30845",+380 85 520-15-61,ievhenvakarchuk@example.com
Лупій,Юстина,Юріївна,жіноча,1983-03-13,Філолог,місто Косів,"сквер Сортувальна 1-ша, буд. 544 кв. 659, Хмельницький, 09273",+380 76 324-03-85,avhustynfastenko@example.org
Євдокименко,Віталій,Васильович,чоловіча,2006-06-21,Диригент,селище Миколаїв,"площа Мукачівський, буд. 006 кв. 276, Лубни, 60269",+380 83 742-45-84,ihor25@example.net
Рябченко,Людмила,Василівна,жіноча,1978-03-09,Фермер,селище Любомль,"провулок Волоколамська, буд. 1 кв. 8, Монастирище, 05002",047 210-57-52,wderiazhnyi@example.org
Дробʼязко,Демид,Сергійович,чоловіча,1975-02-03,Медик,місто Макіївка,"шосе Шампанський, буд. 2 кв. 274, Часів Яр, 72521",949 06 97,sviatoslav04@example.com
Дейсун,Дмитро,Михайлович,чоловіча,1997-03-05,Мікробіолог,хутір Чигирин,"вулиця Каретний, буд. 223 кв. 18, Голубівка, 73318",064 016-90-81,petroaronets@example.net
Вобла,Христина,Романівна,жіноча,1983-02-06,Золотар,місто Євпаторія,"шосе Лазурний 6-й, буд. 642 кв. 0, Сімферополь, 53003",+380 34 252-67-06,huzenkovalentyn@example.org
